#1.2
56238	53
Name	Description	Adipose - Subcutaneous	Adipose - Visceral (Omentum)	Adrenal Gland	Artery - Aorta	Artery - Coronary	Artery - Tibial	Bladder	Brain - Amygdala	Brain - Anterior cingulate cortex (BA24)	Brain - Caudate (basal ganglia)	Brain - Cerebellar Hemisphere	Brain - Cerebellum	Brain - Cortex	Brain - Frontal Cortex (BA9)	Brain - Hippocampus	Brain - Hypothalamus	Brain - Nucleus accumbens (basal ganglia)	Brain - Putamen (basal ganglia)	Brain - Spinal cord (cervical c-1)	Brain - Substantia nigra	Breast - Mammary Tissue	Cells - EBV-transformed lymphocytes	Cells - Transformed fibroblasts	Cervix - Ectocervix	Cervix - Endocervix	Colon - Sigmoid	Colon - Transverse	Esophagus - Gastroesophageal Junction	Esophagus - Mucosa	Esophagus - Muscularis	Fallopian Tube	Heart - Atrial Appendage	Heart - Left Ventricle	Kidney - Cortex	Liver	Lung	Minor Salivary Gland	Muscle - Skeletal	Nerve - Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin - Not Sun Exposed (Suprapubic)	Skin - Sun Exposed (Lower leg)	Small Intestine - Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000223972.4	DDX11L1	0	0	0	0	0	0	0	0	0	0	0.01242	0.01036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01884	0	0.8229	0	0	0	0.0615
ENSG00000227232.4	WASH7P	8.294	7.283	6.109	7.445	7.85	7.266	10.48	4.962	5.554	5.676	13.18	14.05	7.486	6.444	6.31	6.139	5.669	5.755	7.037	5.956	9.756	6.026	3.4	11.01	12.77	10.39	9.098	9.414	7.264	8.939	10.19	4.368	3.359	9.695	4.836	8.815	8.433	4.621	12.79	12.76	5.895	11.65	16.34	13.6	13.66	10.6	13.47	8.051	12.54	12.55	13.01	11.36	7.572
ENSG00000243485.2	MIR1302-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1141	0	0	0	0
ENSG00000237613.2	FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020.2	OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361.1	OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092.4	OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.2	RP11-34P13.7	0.24	0.171	0.1629	0.1767	0.1951	0.186	0.1869	0.1159	0.08837	0.1135	0.2684	0.2436	0.1234	0.1067	0.1333	0.1394	0.1141	0.1229	0.1848	0.1461	0.2413	0.1248	0.1414	0.1824	0.277	0.2126	0.16	0.1913	0.1395	0.1977	0.1626	0.1334	0.07889	0.1386	0.1472	0.2046	0.2428	0.08271	0.3439	0.188	0.2552	0.2917	0.3333	0.1991	0.206	0.1802	0.3083	0.1779	0.5403	0.2496	0.2306	0.201	0.2708
ENSG00000233750.3	CICP27	0	0.006124	0	0	0	0	0	0	0	0	0	0.005633	0	0	0	0	0	0	0	0	0	0	0	0.008455	0.0123	0	0	0	0.02454	0	0.01162	0	0	0.004785	0	0.02603	0.006795	0	0	0.0152	0.006612	0.01692	0.006965	0.004319	0	0	0.09835	0	0.05678	0.00864	0.005795	0.009336	0.2119
ENSG00000237683.5	AL627309.1	2.829	3.796	3.369	2.639	2.376	1.265	2.131	1.096	0.7342	0.8151	1.6	1.974	1.81	1.25	0.8986	1.275	0.8561	0.7755	1.769	1.516	3.491	1.34	0.3316	4.436	5.388	1.919	2.561	2.668	12.85	2.653	5.915	1.67	0.9394	2.951	2.096	14.13	6.418	0.4484	1.981	8.819	4.517	6.423	9.667	5.004	5.195	4.736	36.4	3.635	25.48	6.975	3.549	6.227	113.5
ENSG00000268903.1	RP11-34P13.15	0	0	0	0	0	0	0.4289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3993	0	0.2061	0	0	0.1513	0	0.4036	0.1841	0	0	0.1953	0	0	0.2719	0.1629	0.1608	0.1335	1.372	0	0.875	0.2176	0	0.1859	5.408
ENSG00000239906.1	RP11-34P13.14	0.437	0.4173	0.2448	0.3898	0.3603	0.325	0.5194	0.09857	0.07126	0.07296	0.2387	0.3324	0.2314	0.13	0.07766	0.0968	0.07995	0.05311	0.2406	0.1132	0.5635	0.3348	0	0.4544	0.3447	0.3504	0.3031	0.4548	1.607	0.4407	0.9164	0.2454	0.112	0.3443	0.2635	2.375	0.9144	0.07447	0.3571	1.143	0.4861	0.7166	1.29	0.6508	0.7787	0.5426	3.594	0.4492	6.66	0.9052	0.4847	0.8473	17.1
ENSG00000241860.2	RP11-34P13.13	0.1025	0.09446	0.06786	0.06602	0.05535	0.04459	0.09715	0.03476	0.03605	0.03542	0.0638	0.08597	0.06881	0.05592	0.03251	0.05046	0.03367	0.02569	0.05036	0.04405	0.1389	0.04885	0.02061	0.09485	0.08266	0.06302	0.06937	0.0783	0.562	0.06935	0.1543	0.04779	0.02763	0.04964	0.03988	0.3852	0.3043	0.0222	0.09092	0.2119	0.1871	0.1839	0.208	0.1878	0.209	0.1246	0.4673	0.106	0.2756	0.181	0.0758	0.203	1.914
